,glacier_name,CW2,Glacier_ID,RGI6_ID,CW,lat,lon,mean_wind_obs,sensitivity,delay,Down_glacier_direction,channel_width_100m_from_lowest_point,relief_1km,relief_5km,relief_10km,stddev_1km,stddev_5km,stddev_10km,Slope_100m,Slope_1km,Slope_10km,rgi_slope,station_z,Z_max,Z_min,Z_mean,rel_Z,Z_range,Slope_mean,glacier_length,glacier_width,glacier_area,rel_distancefromhead,Distance from head,rel_distancefromcenterline,Distance from centerline,continentality,A,B,mean_temp_era5,mean_wind_era5,mean_temp_obs,T_range_continentality,aspect_ratio_relief_1,aspect_ratio_relief_5,aspect_ratio_relief_10,aspect_ratio_stddev_1,aspect_ratio_stddev_5,aspect_ratio_stddev_10
0,Arolla,0.811764933,RGI2000-v7.0-G-11-01247,RGI60-11.02810,0.6,45.97,7.52,3.382660743,0.096843976,3.590610294,166,1.06,792,1787,2549,143.604637,340.0649042,435.4417537,0.14307697,0.308851625,0.038536013,16.44,2851.751592,3467,2546,2867.154254,0.331977841,921,211.4325069,4.356,0.871992654,3.7984,0.486685032,2.12,0.2083,0.220798,21.7318082,0.096843976,-0.347728975,6.968109063,0.849657571,7.425177018,21.7318082,0.757575758,0.335758254,0.235386426,4.178138064,1.764369074,1.377911041
1,Balcony,0.844485493,RGI2000-v7.0-G-15-08331,RGI60-15.09803,1.1,27.9826,86.9292,3.431175347,0.097724338,-3.831280214,257,1.04,1274,3550,3985,315.3822113,750.5749662,738.8005589,0.64872719,0.498662496,0.08141589,303,8323,7981,4879,6060.837186,1.110251451,3102,1672.597865,1.8546,14.20791545,26.35,0.690175779,1.28,1.886538462,1.962,15.88784819,0.097724338,0.374409321,-1.759030181,0.82799613,-16.58419028,15.88784819,0.863422292,0.309859155,0.276035132,3.487831465,1.46554315,1.488899794
2,Bellavista,0.72978728,RGI2000-v7.0-G-11-03243,RGI60-11.00957,1.47,46.78284,10.79138,3.578074536,0.233460283,0.173715605,250,0.783,689,1763,2306,138.4965892,333.5426433,391.7007571,0.384868647,0.187460033,0.024415563,15.3,2799,3405,2657,2762.041459,0.189839572,748,234.9984292,3.183,0.970782281,3.09,0.518064719,1.649,1.503192848,1.177,19.65108953,0.233460283,-0.040555694,4.322730445,0.888791324,4.296645413,19.65108953,2.133526851,0.833806012,0.637467476,10.6139798,4.407232567,3.752864842
3,Bishop,1.420791545,RGI2000-v7.0-G-15-08331,RGI60-15.09803,0.95,27.9735,86.9308,3.179746189,0.322373653,1.987775146,90,1.04,1275,3621,4070,249.4432273,828.9443605,754.3471499,0.248662725,0.295326484,0.08141589,23.56,7857.022222,7981,4879,6013.617281,0.960032954,3102,167.2597865,18.546,1.420791545,26.35,0.004691038,0.087,0.457692308,0.476,15.88784819,0.322373653,-0.640806336,-1.275448508,0.746102713,-17.34913266,15.88784819,0.745098039,0.262358465,0.233415233,3.808481835,1.146035905,1.259367123
4,Camp2,0.603018634,RGI2000-v7.0-G-15-08331,RGI60-15.03733,0.66,27.981,86.9023,1.095125037,0.064023458,0.572861545,150,1,907,3623,4187,197.2866351,826.5748585,777.8484033,0.432096602,0.615599223,0.08141589,23.56,6484.964856,7981,4879,5978.858152,0.517719167,3102,167.2597865,18.546,1.420791545,26.35,0.164078507,3.043,0.39,0.39,15.88784819,0.064023458,-0.036676577,-1.700984746,0.799470145,-3.96020899,15.88784819,0.727673649,0.182169473,0.157630762,3.345386268,0.798475774,0.848494382
5,Chottashigri,0.603018634,RGI2000-v7.0-G-14-30579,RGI60-14.15990,0.6,32.228297,77.506293,2.619026647,0.294218433,2.10983667,260,1.31,527,2273,2911,115.418917,375.7736025,513.5438544,0.337601458,0.043193953,0.029424558,16.9,4870.749206,5752,4273,4812.054603,0.404157678,1479,155.4224464,9.516,1.761664565,16.764,0.500210172,4.76,0.214503817,0.281,23.38128363,0.294218433,-0.620752839,2.759963923,0.779397647,2.434010032,23.38128363,1.138519924,0.263968324,0.206114737,5.1984546,1.596706091,1.168352021
6,Corbassiere,0.844485493,RGI2000-v7.0-G-11-00823,RGI60-11.02766,0.6,45.996315,7.291944,3.116063596,-0.077610881,0.23566738,157,1.36,702,2380,3481,130.6560762,536.9318669,629.3243971,0.237118128,0.132794763,0.107456954,353,2561,4267,2234,2505.393393,0.16084604,2033,226.3919822,8.98,1.860801782,16.71,0.818374165,7.349,0.013235294,0.018,21.74783288,-0.077610881,0.018290353,7.71728917,0.866414194,6.450986842,21.74783288,0.854700855,0.25210084,0.172364263,4.592208931,1.117460216,0.953403368
7,Djankuat,0.976939108,RGI2000-v7.0-G-12-00647,RGI60-12.01132,1.52,43.198,42.757,5.119577144,0.785670002,0.318737209,130,0.853,767,1980,2750,160.9242971,415.7898429,516.0169962,0.293949651,0.170574518,0.027459354,25.05,2975.605096,3706,2689.7,3047.76972,0.281319587,1016.3,322.430203,3.152,0.948286802,2.989,0.532043147,1.677,0.133645955,0.114,26.39893157,0.785670002,-0.250422263,7.929449059,0.680562497,6.961034439,26.39893157,1.981747066,0.767676768,0.552727273,9.445435073,3.655692956,2.94563941
8,Drangdrung,1.554625734,RGI2000-v7.0-G-14-26914,RGI60-14.18948,1,33.787596,76.333945,4.203627113,0.216512108,2.673661393,224,2.45,184,2184,2492,27.15183381,414.9222777,444.0073067,0.063974651,0.051974756,0.065973171,13.9,4600.615873,6523,4079,5030.794027,0.213427117,2444,98.79936937,24.737,2.763471723,68.36,0.663661721,16.417,0.067020408,0.1642,26.75100507,0.216512108,-0.578880065,-0.881548621,0.703029922,5.53626202,26.75100507,5.434782609,0.457875458,0.401284109,36.8299249,2.410089922,2.252215189
9,Hinterisferner,0.752835194,RGI2000-v7.0-G-11-03116,RGI60-11.00897,0.47,46.79867,10.76042,3.883671991,0.065914992,0.589598102,300,1.231,611,1710,2075,144.1095082,284.7692366,360.130775,0.303383553,0.288807662,0.024415563,18.1,3026.504762,3694,2413,2770.20381,0.478926434,1281,149.8596163,8.548,0.940102948,8.036,0.494618624,4.228,0.571080422,0.703,19.65108953,0.065914992,-0.038863354,3.650380754,0.799547358,4.301217174,19.65108953,0.769230769,0.274853801,0.226506024,3.261408674,1.650459177,1.305081467
