glacier_number,Glacier_ID,Down_glacier_direction,Distance from terminus,distance_to_nearest_glacier_km,glacier_name,fetch_length,lat,lon,relief,stddev,relief_1,relief_10,relief_20,relief_100,stddev_1,stddev_10,stddev_20,stddev_100,Slope_120m,Slope_60m,Slope_1km,Slope_10km,Slope_1km_20p,aspect_eastness_0.1km,aspect_eastness_1km,aspect_northness_0.1km,aspect_northness_1km,aspect_1km_50p,rgi_aspect,rgi_slope,station_z,Z_max,Z_min,glacier_length,glacier_area,glacier_width,glacier_width_at_station,,Distance from head,Distance from centerline,Distance from nearest bend,continentality,sensitivity,delay,A,B,mean_temp_era5,mean_wind_era5,mean_temp_obs,mean_wind_obs,T_range_continentality,channel_width_fetch,channel_width_at_station,Sensitivity_linear,PM_sensitivity,PM_delay,,rel_distance_from_terminus
0,RGI2000-v7.0-G-11-01247,166,2.005,469,arolla,4.731,45.97,7.52,2439,445.5726397,365,1690,2907,4324,52.7806883,369.5897874,472.5800389,771.0385908,8.696304321,8.356375468,9.801360344,27.70668644,5.377618533,-0.420052682,0.275258443,0.887039108,0.636537862,64.65217391,9,16.44,2851.751592,3467,2546,4.356,3.7984,0.871992654,0.71559,,2.12,0.220798,,32.07701931,0.102681458,2.470335842,0.102681458,-0.253657685,7.023303974,0.86554078,8.410577709,3.318031988,22.46289063,0.964,0.71559,0.092034163,0.217081919,1.835479115,,0.460284665
1,RGI2000-v7.0-G-11-02875,250,1.281,586,langenferner,1.205,46.47245,10.61391,2627,454.946777,368,1965,2627,3758,82.93370173,332.1854209,454.946777,700.9508749,14.62441672,20.85821173,20.57719872,23.75433778,13.68425149,0.940829362,0.675446157,-0.1630569,0.090853582,84.17444296,32,18.14,2954.449045,3399,2671,2.934,2.1629,0.737184731,0.523278,,1.775,0.253101,,26.50067071,-0.067243296,-1.560588224,-0.067243296,-0.104939096,6.973101144,0.746077421,5.009774005,3.302900907,19.94726563,,0.523278,-0.07157584,0.18514732,-0.555591587,,0.436605317
2,RGI2000-v7.0-G-17-15343,90,1.677,1960,schiaparelli,2.411,-54.4,-70.87,2185,382.5839591,84,2181,2185,4864,17.46113288,400.7401941,382.5839591,266.1445847,5.513678362,4.857240948,4.884178331,18.72838454,3.314959545,-0.717511512,-0.681947395,-0.642560238,-0.112598865,254,343,13.85,196.5348101,1953,4.79,10.831,24.7903,2.288828363,1.581,,9.21,0.358567,,-30.12728056,0.102289346,0.906364491,0.102289346,-0.092711431,1.818933348,5.325776039,3.328122231,4.130529456,6.672363281,,1.581,0.097260146,0.213496272,1.403550236,,0.154833349
3,RGI2000-v7.0-G-15-08533,52,0.42985,2039,Trakarding,2.133,27.843,86.487,3205,530.3167246,325,2514,3205,8287,87.59342455,462.8585797,530.3167246,1599.663038,13.38694603,18.87789885,19.38430085,28.76770398,11.88959402,0.837934365,0.502527601,0.412106025,0.485449298,56.29484029,327,16.99,4820.895238,6677,4545,17.869,32.09,1.795847557,0.29821,,17.535,0.65216,,22.68107123,0.512998566,0.631176895,0.512998566,-0.323792842,3.422056537,0.756070596,5.107480108,1.631054633,13.8046875,,0.29821,0.497911124,0.430688744,0.64912616,,0.024055627
4,RGI2000-v7.0-G-15-05917,36,1.354,756,yala,0.092,28.23,85.62,3781,569.0589675,498,2879,3596,7472,114.8543594,615.4591373,556.3720812,1546.139814,15.36421353,20.13728328,20.21949452,30.26446685,13.7747694,-0.464834766,-0.684007905,-0.863520048,-0.583479294,228.9801634,225.8,22.72,5213.642405,5644,5080,2.184,2.054,0.94047619,0.648,,0.491,0.281151,,28.98079014,0.069593185,2.592350898,0.069593185,-0.180409956,3.259881223,0.808418251,1.627204694,1.114681788,15.66137695,,0.648,0.060946878,0.106904704,3.438385955,,0.61996337
5,RGI2000-v7.0-G-15-05739,303,1.792,1779,lirung,0.092,28.24,85.56,5025,877.3916423,568,3842,4580,7506,137.1751985,770.9387432,727.4654832,1564.144959,21.93453473,22.54640142,24.08268462,31.7599224,11.88936185,-0.185666174,-0.053047411,-0.894256834,-0.702477754,194.3870968,139,32.48,4275.60443,7216,3988,8.57,4.786,0.558459743,0.361273,,5.934,0.281,,28.287984,0.2504947,-0.024641785,0.2504947,0.006172637,6.536397181,0.78233097,8.454834009,0.949922899,15.40234375,,0.361273,0.250786321,0.199791677,0.49264727,,0.209101517
6,RGI2000-v7.0-G-15-00882,247,1.186,2445,satopanth,2.04,30.773251,79.408794,3822,627.132174,340,3036,4213,7098,49.0042194,556.5280672,724.2380982,1437.46336,9.794332504,9.337341288,10.22514629,32.74942441,5.70163121,0.868080238,0.356804589,0.36579402,0.323281019,98.30364372,34.36,19.7,3909.812698,7056,3755,20.106,57.04,2.83696409,0.750868,,13.503,0.042383,,41.96477539,0.514601655,-0.20283153,0.514601655,0.104377441,3.055877426,0.799514221,10.481062,1.223555704,20.7175293,,0.750868,0.519040865,0.691577179,0.795938833,,0.058987367
7,RGI2000-v7.0-G-02-07402,200,5.108,476,wm2,,50.138823,-122.775232,2455,436.3472894,228,1830,2493,2871,34.49562052,349.383018,481.7096749,571.5882602,3.133151614,4.846417263,8.654001843,24.74863416,3.188904261,0.567065783,0.670841328,0.383047019,0.263345764,74.5,14.18,11.88,2298.203822,2759,1655,6.503,8.111,1.247270491,0.683,,1.479,0.072964,,24.01008183,0.087362065,1.594488231,0.087362065,-0.139297784,9.003912882,0.653672954,5.225503842,2.512556793,19.46020508,,0.683,0.081758217,0.252995768,2.687130162,,0.785483623
8,RGI2000-v7.0-G-02-07366,160,1.899,271,pm3,,50.414718,-122.600217,2511,572.2206859,400,2006,2514,2826,59.37228604,378.3160035,580.6991202,556.2511245,7.078954507,8.047041183,10.71635008,29.26051819,5.687847103,0.403936247,0.621203255,0.905141871,0.504809269,56.88029804,21.4,11.83,2095,2560,1839,3.821,3.015,0.789060455,0.906,,2.027,0.421089,,25.66349163,0.056502671,1.865068834,0.056502671,-0.105381371,11.84657616,0.75243269,5.695522727,3.179561858,20.28979492,,0.906,0.052157245,0.232415234,2.009913211,,0.496990317
9,RGI2000-v7.0-G-02-07366,160,1.386,547,pm2,1.484,50.421835,-122.598482,2511,572.2206859,128,2094,2484,2820,29.01106168,444.3330584,568.3720196,555.5336816,5.732990742,5.547544956,5.682677604,29.26531234,3.704791784,-0.182977868,-0.107110069,0.94345934,0.745105019,180,21.4,11.83,2024.669841,2560,1839,3.821,3.015,0.789060455,1.301,,2.445,0.198,,25.69362388,0.052630254,0.673176425,0.052630254,-0.035429446,11.89857616,0.75243269,5.171575451,3.112724046,20.28979492,,1.301,0.051169313,0.215297584,1.186327505,,0.362732269
