glacier_name,Glacier_ID,Down_glacier_direction,Distance from terminus,channel_width_100m_from_lowest_point,channel_width_from_below,channel_width_Q,channel_width_100_above_station,channel_width_balaji,lat,lon,relief,stddev,relief_0.1,relief_1,relief_10,relief_20,relief_100,mean_wind_obs,stddev_0.1,stddev_1,stddev_10,stddev_20,stddev_100,Slope_120m,aspect_eastness_0.1km,aspect_eastness_1km,aspect_northness_0.1km,aspect_northness_1km,aspect_1km_50p,rgi_aspect,rgi_slope,station_z,Z_max,Z_min,glacier_length,glacier_area,glacier_width,glacier_width_at_station,Unnamed: 40,Distance from head,Distance from centerline,continentality,sensitivity,delay,A,B,mean_temp_era5,mean_wind_era5,mean_temp_obs,T_range_continentality,rel_distance_from_terminus,localtime,Mean_elev
Arolla,RGI2000-v7.0-G-11-01247,166,2.005,1.06,0.949,1,1.18,0.71559,45.97,7.52,2439,4.660710485,17,399,1862,3000,4387,3.318031988,4.660710485,59.51679731,373.4526332,475.9871962,772.0637542,0.008812765,-0.848048096,-0.848048096,-0.529919264,-0.529919264,64.65217391,9,16.44,2851.751592,3467,2546,4.356,3.7984,0.871992654,0.71559,,2.12,0.220798,21.7318082,0.095947857,3.250521616,0.102681458,-0.253657685,7.023303974,0.86554078,8.410577709,21.7318082,0.460284665,1,2839.551342
Balcony,RGI2000-v7.0-G-15-08331,257,0.5746,1.04,,,,1.1,27.9826,86.9292,,,66,885,3670,4501,8289,,19.49715079,212.4977994,774.4512954,707.3358388,1253.944767,0.040730692,-0.139173101,-0.139173101,-0.990268069,-0.990268069,,303,23.5,8323,7981,4879,1.8546,26.35,14.20791545,1.1,,1.28,1.962,15.88784819,0.069749806,-2.686232358,,,,,,15.88784819,0.309824221,0,8358.942188
Bellavista,RGI2000-v7.0-G-11-03243,250,-0.983,0.783,0.58,0,1.11,1.47,46.78284,10.79138,,9.029249346,24,435,1852,2395,3675,3.577623842,9.029249346,89.73548101,375.9041724,399.205892,699.4236633,0.008095141,-0.874619707,-0.874619707,-0.48480962,-0.48480962,,340.2,15.3,2799,2657,3405,3.183,3.09,0.970782281,1.47,,1.649,1.177,19.65108953,0.183571713,-0.345731749,,,,,,19.65108953,-0.30882815,1,2818.282572
Bishop,RGI2000-v7.0-G-15-08331,90,18.3,1.04,1.05,0,1.35,0.95,27.9735,86.9308,2577,5.462585812,21,405,3750,4486,8317,2.315317701,5.462585812,92.07092416,845.3285524,715.2857717,1277.494468,0.040730692,-0.139173101,-0.139173101,-0.990268069,-0.990268069,204.2891156,303,23.56,7857.022222,7981,4879,18.546,26.35,1.420791545,,,0.087,0.476,15.88784819,0.313174023,2.43171365,0.182017846,-0.155556434,0.914878469,0.68789106,-16.94311232,15.88784819,0.986735684,0,7888.399211
Camp2,RGI2000-v7.0-G-15-08331,150,14.103,1,0.628,1,1.21,0.66,27.981,86.9023,4507,10.65345455,40,576,3686,4607,8292,1.006269192,10.65345455,102.3060144,848.1885654,763.6817028,1253.931466,0.040730692,-0.139173101,-0.139173101,-0.990268069,-0.990268069,222.462556,303,23.56,6484.964856,7981,4879,18.546,26.35,1.420791545,2.088,,3.043,0.39,15.88784819,0.083382509,0.267843392,0.087329131,-0.093174584,-1.316530725,0.788734246,-3.311150755,15.88784819,0.760433517,0,6474.495041
Chottashigri,RGI2000-v7.0-G-14-30579,260,4.913,1.31,1.146,1,2.13,0.6,32.228297,77.506293,3010,15.89368979,49,296,2457,3015,5728,2.359289739,15.89368979,71.3046837,388.5689815,526.7470299,1152.371914,0.055946875,-0.777145961,-0.777145961,-0.629320391,-0.629320391,98.26315789,338.5,16.9,4870.749206,5752,4273,9.516,16.764,1.761664565,0.608,,4.76,0.281,23.38128363,0.333931096,2.353711676,0.335721424,-0.429465092,3.457245516,0.767844293,3.576515426,23.38128363,0.516288356,1,4860.738623
Corbassiere,RGI2000-v7.0-G-11-00823,157,1.781,1.36,0.897,1,1.36,0.6,45.996315,7.291944,,4.196352583,14,343,2933,3528,4501,3.12008547,4.196352583,58.05059551,577.0967863,618.5444656,761.7422994,0.008812765,-0.848048096,-0.867487719,-0.529919264,-0.529919264,,353,17.8,2561,4267,2234,8.98,16.71,1.860801782,0.77,,7.349,0.018,21.74783288,-0.082603697,1.700561104,,,,,,21.74783288,0.198329621,1,2523.395769
Djankuat,RGI2000-v7.0-G-12-00647,130,1.176,0.853,0.616,1,0.961,1.52,43.198,42.757,3119,7.779513695,25,393,2052,3149,5094,3.963628704,7.779513695,97.11901055,437.8489401,558.5766797,731.4355554,0.016885024,0.069756474,0.069756474,0.99756405,0.99756405,300.4006914,329.3,25.05,2975.605096,3706,2689.7,3.152,2.989,0.948286802,1.217,,1.677,0.114,26.39893157,0.791768547,0.341534742,0.025193282,0.191149721,8.560823383,0.687363453,7.598983773,26.39893157,0.373096447,1,2983.446262
Drangdrung,RGI2000-v7.0-G-14-26914,224,8.004,2.45,1,1,2.59,1.492,33.787596,76.333945,2577,1.972026594,6,71,2255,2526,5812,4.19207221,1.972026594,14.48006249,400.4567333,453.8533852,737.4997491,0.05589956,-0.809016994,-0.809016994,-0.587785252,-0.587785252,82.1715439,3.49,13.9,4600.615873,6523,4079,24.737,68.36,2.763471723,1.492,,16.417,0.1642,26.75100507,0.234262284,2.670430352,0.241200909,-0.47761867,0.021489909,0.697072527,5.960437725,26.75100507,0.323563892,1,4588.997081
Hinterisferner,RGI2000-v7.0-G-11-03116,300,4.255,1.231,0.639,1,1.76,0.92,46.79867,10.76042,2316,6.575945221,23,346,1791,2262,3667,4.023811255,6.575945221,79.15113039,305.7873124,384.9585212,686.1367428,0.008095141,-0.874619707,-0.874619707,-0.48480962,-0.48480962,102.547605,77,18.1,3026.504762,3694,2413,8.548,8.036,0.940102948,0.92,,4.228,0.703,19.65108953,0.070238593,-0.072341675,0.061075066,0.106034216,4.189189024,0.786871799,5.598427858,19.65108953,0.497777258,1,3024.118577
